627: 2.699965, 2.931272 avg, 0.000062 rate, 4.749194 seconds, 160512 images
640: 2.961179, 2.934263 avg, 0.000067 rate, 5.199118 seconds, 163840 images
641: 2.699050, 2.910742 avg, 0.000068 rate, 4.777411 seconds, 164096 images
642: 2.637097, 2.883377 avg, 0.000068 rate, 4.914235 seconds, 164352 images
643: 2.739519, 2.868991 avg, 0.000068 rate, 4.939136 seconds, 164608 images
656: 2.723106, 2.854403 avg, 0.000074 rate, 5.234106 seconds, 167936 images
657: 3.070014, 2.875964 avg, 0.000075 rate, 4.747087 seconds, 168192 images
658: 2.846086, 2.872976 avg, 0.000075 rate, 4.940067 seconds, 168448 images
659: 2.475317, 2.833210 avg, 0.000075 rate, 4.910360 seconds, 168704 images
672: 2.555942, 2.805483 avg, 0.000082 rate, 5.119778 seconds, 172032 images
673: 2.533601, 2.778295 avg, 0.000082 rate, 4.673234 seconds, 172288 images
674: 2.738495, 2.774315 avg, 0.000083 rate, 4.861852 seconds, 172544 images
675: 2.382345, 2.735118 avg, 0.000083 rate, 4.796728 seconds, 172800 images
688: 2.836717, 2.745278 avg, 0.000090 rate, 5.128489 seconds, 176128 images
689: 2.523108, 2.723061 avg, 0.000090 rate, 4.829166 seconds, 176384 images
690: 2.587030, 2.709458 avg, 0.000091 rate, 4.918380 seconds, 176640 images
691: 2.525861, 2.691098 avg, 0.000091 rate, 4.809812 seconds, 176896 images
704: 2.549580, 2.676946 avg, 0.000098 rate, 5.291618 seconds, 180224 images
705: 2.287241, 2.637976 avg, 0.000099 rate, 4.718292 seconds, 180480 images
706: 2.273551, 2.601533 avg, 0.000099 rate, 4.871569 seconds, 180736 images
707: 2.437942, 2.585174 avg, 0.000100 rate, 4.868127 seconds, 180992 images
720: 2.496526, 2.576309 avg, 0.000107 rate, 5.128372 seconds, 184320 images
721: 2.166099, 2.535288 avg, 0.000108 rate, 4.546469 seconds, 184576 images
722: 2.267045, 2.508464 avg, 0.000109 rate, 4.875608 seconds, 184832 images
723: 2.408966, 2.498514 avg, 0.000109 rate, 4.832067 seconds, 185088 images
736: 2.496684, 2.498331 avg, 0.000117 rate, 5.109543 seconds, 188416 images
737: 2.229477, 2.471446 avg, 0.000118 rate, 4.795442 seconds, 188672 images
738: 2.200287, 2.444330 avg, 0.000119 rate, 4.865475 seconds, 188928 images
739: 2.285441, 2.428441 avg, 0.000119 rate, 4.841933 seconds, 189184 images
752: 2.121564, 2.397753 avg, 0.000128 rate, 5.194317 seconds, 192512 images
753: 1.907979, 2.348776 avg, 0.000129 rate, 4.646881 seconds, 192768 images
754: 2.083357, 2.322234 avg, 0.000129 rate, 4.900996 seconds, 193024 images
755: 2.142339, 2.304245 avg, 0.000130 rate, 4.864855 seconds, 193280 images
768: 2.099030, 2.283723 avg, 0.000139 rate, 5.160811 seconds, 196608 images
769: 2.523932, 2.307744 avg, 0.000140 rate, 4.716200 seconds, 196864 images
770: 2.173404, 2.294310 avg, 0.000141 rate, 4.737992 seconds, 197120 images
771: 2.071743, 2.272053 avg, 0.000141 rate, 4.924335 seconds, 197376 images
784: 2.381731, 2.283021 avg, 0.000151 rate, 5.190760 seconds, 200704 images
785: 2.117957, 2.266515 avg, 0.000152 rate, 4.806672 seconds, 200960 images
786: 2.084590, 2.248322 avg, 0.000153 rate, 4.798617 seconds, 201216 images
787: 2.050955, 2.228585 avg, 0.000153 rate, 4.879287 seconds, 201472 images
800: 2.144559, 2.220183 avg, 0.000164 rate, 5.173804 seconds, 204800 images
801: 1.892129, 2.187377 avg, 0.000165 rate, 4.658340 seconds, 205056 images
802: 1.917729, 2.160413 avg, 0.000165 rate, 4.900851 seconds, 205312 images
803: 1.771249, 2.121496 avg, 0.000166 rate, 4.874694 seconds, 205568 images
816: 1.997492, 2.109096 avg, 0.000177 rate, 5.283539 seconds, 208896 images
817: 1.943901, 2.092576 avg, 0.000178 rate, 4.687068 seconds, 209152 images
818: 2.046456, 2.087964 avg, 0.000179 rate, 4.905006 seconds, 209408 images
819: 1.804700, 2.059638 avg, 0.000180 rate, 4.776951 seconds, 209664 images
832: 1.876452, 2.041319 avg, 0.000192 rate, 5.234319 seconds, 212992 images
833: 2.066153, 2.043802 avg, 0.000193 rate, 4.675060 seconds, 213248 images
834: 1.919643, 2.031387 avg, 0.000194 rate, 4.881044 seconds, 213504 images
835: 1.910747, 2.019323 avg, 0.000194 rate, 4.850555 seconds, 213760 images
848: 1.823633, 1.999754 avg, 0.000207 rate, 5.145016 seconds, 217088 images
849: 1.856539, 1.985432 avg, 0.000208 rate, 4.839374 seconds, 217344 images
850: 1.973633, 1.984252 avg, 0.000209 rate, 4.769679 seconds, 217600 images
851: 1.837281, 1.969555 avg, 0.000210 rate, 4.910467 seconds, 217856 images
864: 1.953976, 1.967997 avg, 0.000223 rate, 5.207180 seconds, 221184 images
865: 1.888278, 1.960025 avg, 0.000224 rate, 4.693497 seconds, 221440 images
866: 1.712679, 1.935291 avg, 0.000225 rate, 4.837220 seconds, 221696 images
867: 1.792126, 1.920974 avg, 0.000226 rate, 4.883475 seconds, 221952 images
880: 1.692212, 1.898098 avg, 0.000240 rate, 5.147567 seconds, 225280 images
881: 1.842951, 1.892583 avg, 0.000241 rate, 4.837066 seconds, 225536 images
882: 1.571955, 1.860521 avg, 0.000242 rate, 4.928555 seconds, 225792 images
883: 1.706393, 1.845108 avg, 0.000243 rate, 4.769780 seconds, 226048 images
896: 1.741354, 1.834732 avg, 0.000258 rate, 5.220947 seconds, 229376 images
897: 1.686284, 1.819888 avg, 0.000259 rate, 4.766555 seconds, 229632 images
898: 1.961520, 1.834051 avg, 0.000260 rate, 4.922278 seconds, 229888 images
899: 1.735939, 1.824240 avg, 0.000261 rate, 4.934229 seconds, 230144 images
912: 1.880314, 1.829847 avg, 0.000277 rate, 5.278133 seconds, 233472 images
913: 1.773712, 1.824234 avg, 0.000278 rate, 4.613018 seconds, 233728 images
914: 1.717237, 1.813534 avg, 0.000279 rate, 4.918140 seconds, 233984 images
915: 1.645986, 1.796779 avg, 0.000280 rate, 4.900712 seconds, 234240 images
928: 1.493376, 1.766439 avg, 0.000297 rate, 5.233795 seconds, 237568 images
929: 1.589752, 1.748770 avg, 0.000298 rate, 4.576998 seconds, 237824 images
930: 1.615498, 1.735443 avg, 0.000299 rate, 4.780985 seconds, 238080 images
931: 1.643179, 1.726217 avg, 0.000301 rate, 4.905715 seconds, 238336 images
944: 1.603703, 1.713965 avg, 0.000318 rate, 5.123358 seconds, 241664 images
945: 1.691031, 1.711672 avg, 0.000319 rate, 4.778453 seconds, 241920 images
946: 1.642451, 1.704750 avg, 0.000320 rate, 4.888222 seconds, 242176 images
947: 1.478066, 1.682081 avg, 0.000322 rate, 4.833781 seconds, 242432 images
960: 1.615294, 1.675403 avg, 0.000340 rate, 5.226087 seconds, 245760 images
961: 1.409373, 1.648800 avg, 0.000341 rate, 4.800007 seconds, 246016 images
962: 1.652276, 1.649147 avg, 0.000343 rate, 4.848633 seconds, 246272 images
963: 1.586152, 1.642848 avg, 0.000344 rate, 4.913643 seconds, 246528 images
976: 1.536554, 1.632218 avg, 0.000363 rate, 5.203312 seconds, 249856 images
977: 1.621363, 1.631133 avg, 0.000364 rate, 4.860071 seconds, 250112 images
978: 1.585124, 1.626532 avg, 0.000366 rate, 4.873855 seconds, 250368 images
979: 1.615742, 1.625453 avg, 0.000367 rate, 4.857607 seconds, 250624 images
992: 1.562603, 1.619168 avg, 0.000387 rate, 5.266480 seconds, 253952 images
993: 1.481991, 1.605450 avg, 0.000389 rate, 4.730415 seconds, 254208 images
994: 1.526118, 1.597517 avg, 0.000390 rate, 4.865708 seconds, 254464 images
995: 1.596812, 1.597447 avg, 0.000392 rate, 4.838066 seconds, 254720 images
1008: 1.419085, 1.579610 avg, 0.004000 rate, 5.215004 seconds, 258048 images
1009: 1.381647, 1.559814 avg, 0.004000 rate, 4.608949 seconds, 258304 images
1010: 2.271356, 1.630968 avg, 0.004000 rate, 4.930005 seconds, 258560 images
1011: 3.138971, 1.781768 avg, 0.004000 rate, 4.924507 seconds, 258816 images
1024: 4.589520, 2.062544 avg, 0.004000 rate, 5.172254 seconds, 262144 images
1025: 2.067564, 2.063046 avg, 0.004000 rate, 4.795329 seconds, 262400 images
1026: 2.350681, 2.091809 avg, 0.004000 rate, 4.750690 seconds, 262656 images
1027: 1.951181, 2.077746 avg, 0.004000 rate, 4.903076 seconds, 262912 images
1040: 1.887309, 2.058703 avg, 0.004000 rate, 5.236089 seconds, 266240 images
